id,name,preferred_common_name,rank,iconic_taxon_name,ancestor_ids,photo_url
79203,Stellaria longipes,Longstalk starwort,species,Plantae,"48460,47126,211194,47125,47124,47366,48567,791419,49389",https://inaturalist-open-data.s3.amazonaws.com/photos/407175440/medium.jpeg
123665,Scolopocryptops,Red Centipedes,genus,Animalia,"48460,1,47120,144128,49556,53763,123664",https://inaturalist-open-data.s3.amazonaws.com/photos/397027/medium.JPG
67591,Oxyria digyna,alpine sorrel,species,Plantae,"48460,47126,211194,47125,47124,47366,48382,922206,922242,67592",https://inaturalist-open-data.s3.amazonaws.com/photos/34695079/medium.jpeg
472796,Myriopteris gracillima,lace lip fern,species,Plantae,"48460,47126,211194,121943,764796,47754,1224538,48437,545701,481693,1619305",https://inaturalist-open-data.s3.amazonaws.com/photos/423046/medium.jpg
50814,Agaricomycetes,"mushrooms, bracket fungi, puffballs, and allies",class,Fungi,"48460,47170,47169,492000",https://inaturalist-open-data.s3.amazonaws.com/photos/6993855/medium.jpg
52146,Penstemon newberryi,Mountain Pride,species,Plantae,"48460,47126,211194,47125,47124,48151,50638,840998,48367,1368652,1368653",https://inaturalist-open-data.s3.amazonaws.com/photos/81477057/medium.jpeg
67727,Aeshna umbrosa,Shadow Darner,species,Insecta,"48460,1,47120,372739,47158,184884,47792,47927,1317180,51469,52520",https://inaturalist-open-data.s3.amazonaws.com/photos/41813385/medium.jpeg
12727,Turdus migratorius,American Robin,species,Aves,"48460,1,2,355675,3,7251,15977,12705",https://inaturalist-open-data.s3.amazonaws.com/photos/34859026/medium.jpg
43188,Ochotona princeps,American Pika,species,Mammalia,"48460,1,2,355675,40151,848317,848320,848323,43094,43169,43170,1431517",https://inaturalist-open-data.s3.amazonaws.com/photos/49236748/medium.jpg
4756,Cathartes aura,Turkey Vulture,species,Aves,"48460,1,2,355675,3,559244,71306,4755",https://inaturalist-open-data.s3.amazonaws.com/photos/52277010/medium.jpg
52671,Dryopteris arguta,coastal woodfern,species,Plantae,"48460,47126,211194,121943,764796,47754,961001,47753,870758,52672",https://inaturalist-open-data.s3.amazonaws.com/photos/107098738/medium.jpg
78288,Orthilia secunda,one-sided wintergreen,species,Plantae,"48460,47126,211194,47125,47124,47181,133387,451956,72270",https://inaturalist-open-data.s3.amazonaws.com/photos/105663710/medium.jpg
77915,Lycopus uniflorus,northern bugleweed,species,Plantae,"48460,47126,211194,47125,47124,48151,48623,520502,918917,919179,60208",https://inaturalist-open-data.s3.amazonaws.com/photos/1059869/medium.JPG
704166,Angelica capitellata,ranger buttons,species,Plantae,"48460,47126,211194,47125,47124,48700,48699,790553,790592,52836",https://inaturalist-open-data.s3.amazonaws.com/photos/15595998/medium.jpg
64714,Vaccinium uliginosum,bog bilberry,species,Plantae,"48460,47126,211194,47125,47124,47181,133387,634914,919967,48353,1560077",https://inaturalist-open-data.s3.amazonaws.com/photos/153480292/medium.jpg
311249,Bryophyta,mosses,phylum,Plantae,"48460,47126",https://inaturalist-open-data.s3.amazonaws.com/photos/3180282/medium.JPG
318550,Halictus farinosus,Wide-striped Sweat Bee,species,Insecta,"48460,1,47120,372739,47158,184884,47201,124417,326777,47222,630955,49707,134106,335597,1597678,57677,606645",https://static.inaturalist.org/photos/1178293/medium.JPG
67560,Adelpha californica,California Sister,species,Insecta,"48460,1,47120,372739,47158,184884,47157,47224,47922,134171,134175,48661",https://inaturalist-open-data.s3.amazonaws.com/photos/952/medium.jpg
51813,Oenothera elata,tall evening primrose,species,Plantae,"48460,47126,211194,47125,47124,47791,47790,48626,914077",https://static.inaturalist.org/photos/436826497/medium.jpeg
53060,Galium,bedstraws,genus,Plantae,"48460,47126,211194,47125,47124,47363,47693,788064,788083",https://inaturalist-open-data.s3.amazonaws.com/photos/30968909/medium.jpg
51274,Heuchera micrantha,crevice alumroot,species,Plantae,"48460,47126,211194,47125,47124,71289,48386,1424203,48385,954874",https://inaturalist-open-data.s3.amazonaws.com/photos/70200350/medium.jpeg
47208,Coleoptera,Beetles,order,Insecta,"48460,1,47120,372739,47158,184884",https://static.inaturalist.org/photos/107149184/medium.jpeg
155238,Idiostatus aequalis,Uniform shieldback,species,Insecta,"48460,1,47120,372739,47158,184884,47651,132694,488701,48125,48124,82546,523090,49379",https://static.inaturalist.org/photos/45829046/medium.jpg
60369,Pyrola,wintergreens,genus,Plantae,"48460,47126,211194,47125,47124,47181,133387,451956",https://inaturalist-open-data.s3.amazonaws.com/photos/310741308/medium.jpg
